,p1,favorite_count
0,golden_retriever,1693475.0
1,Labrador_retriever,1116811.0
2,Pembroke,994755.0
3,Chihuahua,673526.0
4,Samoyed,542991.0
5,French_bulldog,465738.0
6,chow,404241.0
7,pug,320223.0
8,cocker_spaniel,315825.0
9,Pomeranian,299114.0
10,Cardigan,260287.0
11,toy_poodle,250648.0
12,malamute,249179.0
13,Chesapeake_Bay_retriever,232997.0
14,Eskimo_dog,216028.0
15,German_shepherd,203093.0
16,Lakeland_terrier,198198.0
17,miniature_pinscher,187889.0
18,Staffordshire_bullterrier,187099.0
19,Great_Pyrenees,181048.0
20,basset,180258.0
21,Shetland_sheepdog,154553.0
22,English_springer,140915.0
23,Siberian_husky,139982.0
24,flat-coated_retriever,134333.0
25,Italian_greyhound,128658.0
26,Rottweiler,127719.0
27,standard_poodle,110502.0
28,kelpie,109828.0
29,Border_collie,107197.0
30,American_Staffordshire_terrier,98274.0
31,vizsla,97402.0
32,Saluki,96240.0
33,Border_terrier,95046.0
34,boxer,94951.0
35,Pekinese,93164.0
36,Blenheim_spaniel,92809.0
37,West_Highland_white_terrier,91084.0
38,Old_English_sheepdog,91041.0
39,Norwegian_elkhound,86545.0
40,kuvasz,84242.0
41,beagle,80400.0
42,bloodhound,77562.0
43,collie,73368.0
44,whippet,72676.0
45,Bernese_mountain_dog,67907.0
46,Doberman,67862.0
47,schipperke,66894.0
48,Shih-Tzu,65186.0
49,Bedlington_terrier,65125.0
50,Airedale,63370.0
51,dalmatian,62236.0
52,Great_Dane,56385.0
53,Boston_bull,55751.0
54,Maltese_dog,53687.0
55,Afghan_hound,51980.0
56,borzoi,51720.0
57,Mexican_hairless,50562.0
58,Irish_water_spaniel,49200.0
59,Tibetan_mastiff,48694.0
60,Weimaraner,47931.0
61,German_short-haired_pointer,44865.0
62,Leonberg,44803.0
63,Irish_setter,42327.0
64,Brittany_spaniel,41290.0
65,Newfoundland,41144.0
66,Yorkshire_terrier,41087.0
67,Irish_terrier,37545.0
68,malinois,37135.0
69,Norfolk_terrier,35027.0
70,giant_schnauzer,34629.0
71,black-and-tan_coonhound,34024.0
72,English_setter,33981.0
73,Walker_hound,32949.0
74,Greater_Swiss_Mountain_dog,31571.0
75,papillon,30818.0
76,bull_mastiff,30326.0
77,komondor,29873.0
78,briard,28535.0
79,miniature_poodle,27655.0
80,Saint_Bernard,26671.0
81,Norwich_terrier,24073.0
82,soft-coated_wheaten_terrier,23079.0
83,Australian_terrier,22255.0
84,Gordon_setter,22117.0
85,Dandie_Dinmont,20656.0
86,bluetick,20138.0
87,redbone,19778.0
88,keeshond,19659.0
89,basenji,18839.0
90,wire-haired_fox_terrier,17077.0
91,miniature_schnauzer,16479.0
92,cairn,16330.0
93,Rhodesian_ridgeback,16164.0
94,Appenzeller,14635.0
95,curly-coated_retriever,13836.0
96,Lhasa,13299.0
97,toy_terrier,8994.0
98,Sussex_spaniel,8123.0
99,Welsh_springer_spaniel,8097.0
100,Scottish_deerhound,7457.0
101,Tibetan_terrier,7364.0
102,clumber,7320.0
103,silky_terrier,7317.0
104,Scotch_terrier,3624.0
105,Ibizan_hound,3344.0
106,EntleBucher,2678.0
107,Brabancon_griffon,2655.0
108,standard_schnauzer,2046.0
109,groenendael,1896.0
110,Japanese_spaniel,1362.0
