-,type,count
0,golden_retriever,137
1,Labrador_retriever,94
2,Pembroke,88
3,Chihuahua,78
4,pug,54
5,chow,41
6,Samoyed,40
7,Pomeranian,38
8,toy_poodle,37
9,malamute,29
10,cocker_spaniel,27
11,French_bulldog,26
12,Chesapeake_Bay_retriever,23
13,miniature_pinscher,21
14,Siberian_husky,20
15,German_shepherd,20
16,Staffordshire_bullterrier,19
17,Eskimo_dog,18
18,Shetland_sheepdog,18
19,Maltese_dog,18
20,Shih-Tzu,17
21,Cardigan,17
22,beagle,17
23,Rottweiler,16
24,Italian_greyhound,16
25,Lakeland_terrier,15
26,kuvasz,15
27,West_Highland_white_terrier,14
28,Great_Pyrenees,14
29,vizsla,13
30,American_Staffordshire_terrier,13
31,basset,13
32,Pekinese,13
33,dalmatian,12
34,Airedale,12
35,Border_collie,12
36,Old_English_sheepdog,11
37,kelpie,11
38,collie,10
39,soft-coated_wheaten_terrier,10
40,boxer,10
41,Blenheim_spaniel,10
42,Bernese_mountain_dog,10
43,whippet,9
44,Great_Dane,9
45,malinois,9
46,Boston_bull,9
47,English_springer,9
48,schipperke,9
49,borzoi,8
50,miniature_poodle,8
51,Yorkshire_terrier,8
52,Doberman,8
53,flat-coated_retriever,8
54,English_setter,7
55,standard_poodle,7
56,basenji,7
57,papillon,7
58,Norwegian_elkhound,7
59,Brittany_spaniel,7
60,Border_terrier,7
61,bloodhound,7
62,German_short-haired_pointer,7
63,redbone,6
64,Saint_Bernard,6
65,Norfolk_terrier,6
66,Dandie_Dinmont,6
67,Lhasa,5
68,Bedlington_terrier,5
69,Walker_hound,5
70,bull_mastiff,5
71,Irish_terrier,5
72,Newfoundland,5
73,bluetick,4
74,Saluki,4
75,Norwich_terrier,4
76,Mexican_hairless,4
77,Tibetan_mastiff,4
78,miniature_schnauzer,4
79,Weimaraner,4
80,Gordon_setter,4
81,Irish_setter,4
82,keeshond,4
83,Tibetan_terrier,4
84,Rhodesian_ridgeback,4
85,briard,3
86,Afghan_hound,3
87,Welsh_springer_spaniel,3
88,Brabancon_griffon,3
89,Leonberg,3
90,curly-coated_retriever,3
91,komondor,3
92,Greater_Swiss_Mountain_dog,3
93,cairn,3
94,Scottish_deerhound,3
95,Ibizan_hound,3
96,Irish_water_spaniel,3
97,Appenzeller,2
98,giant_schnauzer,2
99,Sussex_spaniel,2
100,wire-haired_fox_terrier,2
101,toy_terrier,2
102,Australian_terrier,2
103,black-and-tan_coonhound,2
104,silky_terrier,1
105,groenendael,1
106,Scotch_terrier,1
107,EntleBucher,1
108,Japanese_spaniel,1
109,standard_schnauzer,1
110,clumber,1
